day  jan_rise jan_set  feb_rise feb_set  mar_rise mar_set  apr_rise apr_set  may_rise may_set  jun_rise jun_set  jul_rise jul_set  aug_rise aug_set  sep_rise sep_set  oct_rise oct_set  nov_rise nov_set  dec_rise dec_set
01  0544 2010  0614 2000  0641 1930  0706 1848  0730 1811  0752 1751  0801 1754  0747 1813  0712 1835  0630 1857  0552 1923  0534 1952
02  0545 2010  0615 1959  0642 1929  0707 1846  0730 1810  0753 1750  0801 1754  0746 1814  0711 1836  0628 1858  0551 1924  0534 1953
03  0546 2010  0616 1958  0643 1927  0708 1845  0731 1809  0753 1750  0801 1755  0745 1814  0709 1837  0627 1858  0550 1925  0533 1954
04  0547 2010  0617 1957  0644 1926  0709 1844  0732 1808  0754 1750  0801 1755  0744 1815  0708 1837  0626 1859  0549 1926  0533 1955
05  0548 2010  0618 1956  0645 1925  0709 1842  0733 1807  0754 1750  0801 1756  0743 1816  0707 1838  0624 1900  0548 1927  0533 1955
06  0549 2010  0619 1955  0645 1923  0710 1841  0734 1806  0755 1750  0801 1756  0743 1817  0705 1839  0623 1901  0547 1928  0533 1956
07  0549 2010  0620 1955  0646 1922  0711 1840  0734 1805  0755 1749  0801 1757  0742 1817  0704 1840  0622 1901  0546 1929  0533 1957
08  0550 2010  0621 1954  0647 1921  0712 1838  0735 1804  0756 1749  0800 1757  0741 1818  0702 1840  0620 1902  0545 1930  0534 1958
09  0551 2010  0622 1953  0648 1919  0712 1837  0736 1804  0756 1749  0800 1758  0740 1819  0701 1841  0619 1903  0544 1931  0534 1959
10  0552 2010  0623 1952  0649 1918  0713 1836  0737 1803  0757 1749  0800 1758  0739 1820  0700 1842  0617 1904  0544 1932  0534 1959
11  0553 2010  0624 1951  0650 1917  0714 1834  0737 1802  0757 1749  0759 1759  0737 1820  0658 1842  0616 1905  0543 1933  0534 2000
12  0554 2010  0625 1950  0650 1915  0715 1833  0738 1801  0758 1749  0759 1800  0736 1821  0657 1843  0615 1906  0542 1934  0534 2001
13  0555 2009  0626 1949  0651 1914  0716 1832  0739 1800  0758 1749  0759 1800  0735 1822  0655 1844  0614 1906  0541 1935  0534 2002
14  0556 2009  0627 1948  0652 1912  0716 1831  0740 1800  0758 1749  0758 1801  0734 1822  0654 1844  0612 1907  0541 1936  0535 2002
15  0557 2009  0628 1947  0653 1911  0717 1829  0740 1759  0759 1749  0758 1801  0733 1823  0653 1845  0611 1908  0540 1937  0535 2003
16  0558 2009  0629 1945  0654 1910  0718 1828  0741 1758  0759 1750  0758 1802  0732 1824  0651 1846  0610 1909  0539 1938  0535 2003
17  0559 2008  0630 1944  0655 1908  0719 1827  0742 1758  0759 1750  0757 1803  0731 1825  0650 1847  0608 1910  0539 1939  0536 2004
18  0600 2008  0631 1943  0655 1907  0719 1826  0743 1757  0800 1750  0757 1803  0730 1825  0648 1847  0607 1911  0538 1940  0536 2005
19  0601 2008  0632 1942  0656 1906  0720 1824  0743 1756  0800 1750  0756 1804  0728 1826  0647 1848  0606 1911  0538 1941  0536 2005
20  0602 2007  0633 1941  0657 1904  0721 1823  0744 1756  0800 1750  0756 1805  0727 1827  0645 1849  0605 1912  0537 1942  0537 2006
21  0603 2007  0634 1940  0658 1903  0722 1822  0745 1755  0800 1750  0755 1805  0726 1828  0644 1849  0604 1913  0537 1943  0537 2006
22  0604 2006  0635 1939  0658 1901  0723 1821  0746 1755  0801 1751  0754 1806  0725 1828  0643 1850  0602 1914  0536 1944  0538 2007
23  0605 2006  0636 1937  0659 1900  0723 1820  0746 1754  0801 1751  0754 1807  0724 1829  0641 1851  0601 1915  0536 1945  0538 2007
24  0606 2005  0637 1936  0700 1859  0724 1819  0747 1754  0801 1751  0753 1807  0722 1830  0640 1852  0600 1916  0536 1946  0539 2008
25  0607 2004  0637 1935  0701 1857  0725 1817  0748 1753  0801 1752  0752 1808  0721 1830  0638 1852  0559 1917  0535 1946  0540 2008
26  0608 2004  0638 1934  0702 1856  0726 1816  0748 1753  0801 1752  0752 1809  0720 1831  0637 1853  0558 1918  0535 1947  0540 2008
27  0609 2003  0639 1932  0702 1855  0727 1815  0749 1752  0801 1752  0751 1809  0719 1832  0635 1854  0557 1919  0535 1948  0541 2009
28  0610 2003  0640 1931  0703 1853  0727 1814  0750 1752  0801 1753  0750 1810  0717 1833  0634 1855  0556 1919  0534 1949  0541 2009
29  0611 2002     0704 1852  0728 1813  0750 1752  0801 1753  0750 1811  0716 1833  0633 1855  0555 1920  0534 1950  0542 2009
30  0612 2001     0705 1850  0729 1812  0751 1751  0801 1753  0749 1812  0715 1834  0631 1856  0554 1921  0534 1951  0543 2009
31  0613 2000     0706 1849     0751 1751     0748 1812  0713 1835     0553 1922     0544 2010
