day  jan_rise jan_set  feb_rise feb_set  mar_rise mar_set  apr_rise apr_set  may_rise may_set  jun_rise jun_set  jul_rise jul_set  aug_rise aug_set  sep_rise sep_set  oct_rise oct_set  nov_rise nov_set  dec_rise dec_set
01  0244 2258  0421 2140  0552 2006  0722 1820  0848 1641  1010 1521  1030 1514  0925 1625  0746 1751  0603 1913  0418 2048  0250 2226
02  0246 2257  0424 2137  0555 2003  0725 1816  0851 1638  1012 1520  1029 1515  0922 1627  0743 1754  0600 1916  0414 2051  0248 2229
03  0248 2255  0428 2133  0558 2000  0728 1813  0854 1635  1014 1518  1028 1517  0919 1630  0739 1756  0556 1919  0411 2054  0246 2232
04  0251 2253  0431 2130  0601 1956  0731 1809  0856 1632  1016 1516  1027 1518  0916 1633  0736 1759  0553 1922  0408 2057  0244 2235
05  0254 2252  0435 2127  0604 1953  0733 1806  0859 1629  1018 1515  1026 1520  0913 1636  0733 1802  0549 1925  0405 2101  0242 2237
06  0256 2250  0438 2124  0607 1949  0736 1803  0902 1626  1020 1514  1024 1522  0910 1639  0729 1804  0546 1928  0401 2104  0240 2240
07  0259 2248  0441 2120  0610 1946  0739 1759  0905 1623  1021 1512  1023 1523  0907 1641  0726 1807  0542 1931  0358 2107  0239 2242
08  0302 2246  0445 2117  0613 1942  0742 1756  0908 1620  1023 1511  1021 1525  0904 1644  0722 1810  0539 1934  0355 2111  0237 2245
09  0305 2244  0448 2114  0616 1939  0745 1753  0911 1617  1024 1510  1020 1527  0901 1647  0719 1813  0536 1936  0352 2114  0235 2247
10  0308 2242  0451 2111  0619 1935  0748 1749  0913 1614  1026 1509  1018 1529  0858 1650  0716 1815  0532 1939  0349 2117  0234 2249
11  0311 2239  0455 2107  0622 1932  0751 1746  0916 1611  1027 1508  1016 1531  0855 1653  0712 1818  0529 1942  0346 2121  0233 2251
12  0314 2237  0458 2104  0625 1928  0753 1743  0919 1609  1028 1507  1014 1534  0851 1655  0709 1821  0525 1945  0342 2124  0232 2253
13  0317 2234  0501 2101  0628 1925  0756 1739  0922 1606  1029 1507  1012 1536  0848 1658  0705 1824  0522 1948  0339 2128  0231 2255
14  0320 2232  0505 2057  0631 1922  0759 1736  0925 1603  1030 1506  1010 1538  0845 1701  0702 1826  0518 1951  0336 2131  0230 2257
15  0323 2229  0508 2054  0634 1918  0802 1733  0927 1600  1031 1506  1008 1540  0842 1704  0658 1829  0515 1954  0333 2134  0229 2258
16  0326 2227  0511 2051  0636 1915  0805 1729  0930 1558  1032 1505  1006 1543  0839 1706  0655 1832  0511 1957  0330 2138  0229 2259
17  0330 2224  0514 2047  0639 1911  0808 1726  0933 1555  1033 1505  1004 1545  0836 1709  0652 1835  0508 2000  0327 2141  0228 2301
18  0333 2221  0517 2044  0642 1908  0810 1723  0936 1552  1033 1505  1001 1548  0832 1712  0648 1837  0505 2003  0324 2144  0228 2302
19  0336 2219  0521 2041  0645 1904  0813 1719  0938 1550  1034 1505  0959 1550  0829 1715  0645 1840  0501 2006  0321 2148  0228 2302
20  0340 2216  0524 2037  0648 1901  0816 1716  0941 1547  1034 1505  0957 1553  0826 1718  0641 1843  0458 2009  0319 2151  0228 2303
21  0343 2213  0527 2034  0651 1857  0819 1713  0944 1545  1034 1505  0954 1555  0823 1720  0638 1846  0455 2013  0316 2154  0229 2304
22  0347 2210  0530 2030  0654 1854  0822 1710  0946 1542  1035 1506  0952 1558  0819 1723  0634 1848  0451 2016  0313 2158  0229 2304
23  0350 2207  0533 2027  0657 1851  0825 1706  0949 1540  1035 1506  0949 1600  0816 1726  0631 1851  0448 2019  0310 2201  0230 2304
24  0353 2204  0537 2023  0659 1847  0828 1703  0951 1538  1034 1507  0947 1603  0813 1729  0627 1854  0444 2022  0308 2204  0231 2304
25  0357 2201  0540 2020  0702 1844  0830 1700  0954 1535  1034 1507  0944 1606  0809 1732  0624 1857  0441 2025  0305 2207  0232 2304
26  0400 2158  0543 2017  0705 1840  0833 1657  0956 1533  1034 1508  0941 1608  0806 1734  0620 1859  0438 2028  0302 2211  0233 2304
27  0404 2155  0546 2013  0708 1837  0836 1654  0959 1531  1033 1509  0939 1611  0803 1737  0617 1902  0434 2031  0300 2214  0234 2303
28  0407 2152  0549 2010  0711 1833  0839 1651  1001 1529  1033 1510  0936 1614  0800 1740  0614 1905  0431 2035  0257 2217  0236 2302
29  0411 2149     0714 1830  0842 1647  1003 1527  1032 1511  0933 1616  0756 1743  0610 1908  0428 2038  0255 2220  0238 2302
30  0414 2146     0716 1827  0845 1644  1006 1525  1031 1512  0930 1619  0753 1745  0607 1911  0424 2041  0253 2223  0239 2301
31  0417 2143     0719 1823     1008 1523     0927 1622  0750 1748     0421 2044     0241 2300
