day  jan_rise jan_set  feb_rise feb_set  mar_rise mar_set  apr_rise apr_set  may_rise may_set  jun_rise jun_set  jul_rise jul_set  aug_rise aug_set  sep_rise sep_set  oct_rise oct_set  nov_rise nov_set  dec_rise dec_set
01  0648 1732  0646 1753  0627 1809  0558 1822  0532 1834  0519 1849  0523 1856  0536 1848  0548 1823  0558 1753  0612 1727  0631 1719
02  0648 1732  0646 1754  0626 1810  0557 1822  0531 1835  0519 1849  0524 1856  0537 1847  0548 1822  0558 1752  0612 1726  0632 1719
03  0648 1733  0645 1755  0626 1810  0556 1823  0531 1835  0519 1849  0524 1856  0537 1847  0549 1821  0558 1751  0613 1726  0633 1719
04  0649 1734  0645 1755  0625 1811  0555 1823  0530 1835  0519 1850  0524 1856  0538 1846  0549 1820  0559 1750  0613 1725  0633 1719
05  0649 1734  0644 1756  0624 1811  0554 1823  0529 1836  0519 1850  0525 1856  0538 1845  0549 1819  0559 1749  0614 1725  0634 1719
06  0649 1735  0644 1757  0623 1811  0553 1824  0529 1836  0519 1851  0525 1856  0538 1845  0550 1818  0600 1748  0615 1724  0635 1720
07  0649 1736  0643 1757  0622 1812  0552 1824  0528 1837  0519 1851  0526 1856  0539 1844  0550 1817  0600 1747  0615 1724  0635 1720
08  0649 1736  0643 1758  0621 1812  0551 1824  0528 1837  0519 1851  0526 1856  0539 1843  0550 1816  0600 1746  0616 1723  0636 1720
09  0650 1737  0642 1758  0620 1813  0550 1825  0527 1838  0519 1852  0526 1856  0540 1843  0551 1815  0601 1745  0616 1723  0636 1720
10  0650 1738  0641 1759  0619 1813  0549 1825  0527 1838  0519 1852  0527 1856  0540 1842  0551 1814  0601 1744  0617 1722  0637 1721
11  0650 1738  0641 1800  0618 1814  0548 1826  0526 1839  0519 1852  0527 1856  0540 1841  0551 1813  0602 1743  0618 1722  0638 1721
12  0650 1739  0640 1800  0617 1814  0547 1826  0525 1839  0519 1853  0528 1856  0541 1841  0552 1812  0602 1742  0618 1722  0638 1721
13  0650 1740  0640 1801  0616 1814  0546 1826  0525 1840  0519 1853  0528 1855  0541 1840  0552 1811  0602 1741  0619 1721  0639 1722
14  0650 1741  0639 1801  0615 1815  0546 1827  0524 1840  0519 1853  0528 1855  0542 1839  0552 1810  0603 1740  0620 1721  0640 1722
15  0650 1741  0638 1802  0614 1815  0545 1827  0524 1841  0519 1854  0529 1855  0542 1838  0553 1809  0603 1740  0620 1721  0640 1722
16  0650 1742  0638 1803  0613 1816  0544 1828  0524 1841  0519 1854  0529 1855  0542 1837  0553 1808  0604 1739  0621 1720  0641 1723
17  0650 1743  0637 1803  0612 1816  0543 1828  0523 1842  0520 1854  0530 1854  0543 1837  0553 1807  0604 1738  0622 1720  0641 1723
18  0650 1744  0636 1804  0611 1816  0542 1828  0523 1842  0520 1855  0530 1854  0543 1836  0553 1806  0605 1737  0622 1720  0642 1724
19  0649 1744  0635 1804  0610 1817  0541 1829  0522 1843  0520 1855  0531 1854  0544 1835  0554 1805  0605 1736  0623 1720  0642 1724
20  0649 1745  0635 1805  0609 1817  0540 1829  0522 1843  0520 1855  0531 1853  0544 1834  0554 1804  0605 1735  0624 1719  0643 1725
21  0649 1746  0634 1805  0608 1818  0540 1830  0522 1844  0520 1855  0531 1853  0544 1833  0554 1803  0606 1735  0624 1719  0643 1725
22  0649 1746  0633 1806  0608 1818  0539 1830  0521 1844  0521 1855  0532 1853  0545 1832  0555 1802  0606 1734  0625 1719  0644 1726
23  0649 1747  0632 1806  0607 1818  0538 1831  0521 1844  0521 1856  0532 1852  0545 1831  0555 1801  0607 1733  0626 1719  0644 1726
24  0649 1748  0631 1807  0606 1819  0537 1831  0521 1845  0521 1856  0533 1852  0545 1831  0555 1800  0607 1732  0626 1719  0645 1727
25  0648 1749  0631 1807  0605 1819  0536 1831  0521 1845  0521 1856  0533 1851  0546 1830  0556 1759  0608 1732  0627 1719  0645 1727
26  0648 1749  0630 1808  0604 1819  0536 1832  0520 1846  0522 1856  0534 1851  0546 1829  0556 1758  0608 1731  0628 1719  0646 1728
27  0648 1750  0629 1808  0603 1820  0535 1832  0520 1846  0522 1856  0534 1851  0546 1828  0556 1757  0609 1730  0628 1719  0646 1728
28  0647 1751  0628 1809  0602 1820  0534 1833  0520 1847  0522 1856  0535 1850  0547 1827  0557 1756  0609 1730  0629 1719  0646 1729
29  0647 1751     0601 1821  0533 1833  0520 1847  0523 1856  0535 1850  0547 1826  0557 1755  0610 1729  0630 1719  0647 1730
30  0647 1752     0600 1821  0533 1834  0519 1848  0523 1856  0535 1849  0547 1825  0557 1754  0611 1728  0630 1719  0647 1730
31  0646 1753     0559 1821     0519 1848     0536 1848  0548 1824     0611 1728     0648 1731
