day  jan_rise jan_set  feb_rise feb_set  mar_rise mar_set  apr_rise apr_set  may_rise may_set  jun_rise jun_set  jul_rise jul_set  aug_rise aug_set  sep_rise sep_set  oct_rise oct_set  nov_rise nov_set  dec_rise dec_set
01  1219 1643  1106 1816  0934 1946  0744 2119  0558 2252  0421 0031  0405 0055  0535 2330  0710 2142  0837 1955  1011 1809  1146 1645
02  1217 1645  1103 1819  0930 1949  0740 2122  0555 2256  0418 0034  0407 0054  0538 2326  0713 2138  0840 1951  1015 1805  1149 1644
03  1216 1647  1100 1822  0927 1952  0737 2125  0551 2259  0416 0036  0409 0052  0541 2323  0716 2134  0843 1948  1018 1802  1152 1642
04  1215 1650  1057 1826  0923 1955  0733 2128  0548 2302  0414 0039  0411 0050  0544 2319  0719 2131  0845 1944  1021 1759  1154 1640
05  1213 1652  1054 1829  0920 1958  0730 2131  0544 2305  0412 0041  0414 0048  0547 2316  0722 2127  0848 1941  1024 1756  1157 1638
06  1212 1655  1051 1832  0916 2001  0726 2134  0541 2308  0409 0044  0416 0046  0551 2313  0725 2124  0851 1937  1028 1753  1159 1637
07  1210 1657  1048 1836  0913 2005  0722 2137  0538 2312  0407 0046  0418 0043  0554 2309  0728 2120  0854 1934  1031 1749  1201 1635
08  1208 1700  1044 1839  0909 2008  0719 2140  0534 2315  0405 0048  0421 0041  0557 2306  0731 2117  0857 1930  1034 1746  1204 1634
09  1206 1702  1041 1842  0906 2011  0715 2143  0531 2318  0404 0050  0424 0039  0600 2302  0733 2113  0900 1927  1037 1743  1206 1633
10  1204 1705  1038 1846  0902 2014  0712 2146  0527 2322  0402 0052  0426 0036  0603 2259  0736 2109  0903 1923  1041 1740  1208 1632
11  1202 1708  1035 1849  0858 2017  0708 2149  0524 2325  0400 0054  0429 0034  0606 2256  0739 2106  0906 1920  1044 1737  1210 1631
12  1200 1711  1031 1852  0855 2020  0705 2153  0521 2328  0359 0056  0432 0031  0609 2252  0742 2102  0909 1916  1047 1734  1212 1630
13  1158 1714  1028 1855  0851 2023  0701 2156  0518 2331  0358 0057  0435 0028  0613 2249  0745 2059  0912 1913  1050 1731  1213 1629
14  1156 1717  1025 1859  0848 2026  0658 2159  0514 2335  0357 0059  0438 0026  0616 2245  0748 2055  0915 1909  1054 1728  1215 1628
15  1154 1720  1021 1902  0844 2029  0654 2202  0511 2338  0356 0100  0441 0023  0619 2242  0751 2052  0918 1906  1057 1725  1216 1628
16  1151 1723  1018 1905  0841 2032  0651 2205  0508 2341  0355 0101  0444 0020  0622 2238  0754 2048  0921 1902  1100 1722  1218 1628
17  1149 1726  1015 1908  0837 2035  0647 2208  0505 2345  0354 0102  0447 0017  0625 2235  0756 2044  0924 1859  1103 1720  1219 1627
18  1146 1729  1011 1911  0834 2038  0643 2211  0501 2348  0354 0103  0450 0014  0628 2231  0759 2041  0927 1855  1107 1717  1220 1627
19  1144 1733  1008 1915  0830 2041  0640 2214  0458 2351  0354 0103  0453 0011  0631 2228  0802 2037  0930 1852  1110 1714  1221 1628
20  1141 1736  1004 1918  0827 2044  0636 2217  0455 2354  0354 0103  0456 0008  0634 2224  0805 2034  0933 1849  1113 1711  1221 1628
21  1138 1739  1001 1921  0823 2047  0633 2220  0452 2357  0354 0104  0459 0005  0637 2221  0808 2030  0937 1845  1116 1709  1222 1628
22  1136 1742  0958 1924  0819 2050  0629 2223  0449 0001  0354 0104  0502 0002  0640 2217  0811 2027  0940 1842  1119 1706  1222 1629
23  1133 1746  0954 1927  0816 2052  0626 2227  0446 0004  0355 0103  0506 2359  0643 2213  0814 2023  0943 1838  1123 1704  1223 1630
24  1130 1749  0951 1931  0812 2055  0622 2230  0443 0007  0355 0103  0509 2356  0646 2210  0816 2019  0946 1835  1126 1701  1223 1631
25  1127 1752  0947 1934  0809 2058  0619 2233  0440 0010  0356 0102  0512 2352  0649 2206  0819 2016  0949 1832  1129 1659  1223 1632
26  1124 1756  0944 1937  0805 2101  0615 2236  0437 0013  0357 0102  0515 2349  0652 2203  0822 2012  0952 1828  1132 1656  1223 1633
27  1121 1759  0940 1940  0802 2104  0612 2239  0434 0016  0359 0101  0518 2346  0655 2159  0825 2009  0955 1825  1135 1654  1222 1634
28  1118 1802  0937 1943  0758 2107  0608 2243  0432 0019  0400 0059  0522 2343  0658 2156  0828 2005  0959 1822  1138 1652  1222 1636
29  1115 1806     0755 2110  0605 2246  0429 0022  0402 0058  0525 2340  0701 2152  0831 2002  1002 1818  1141 1650  1221 1637
30  1112 1809     0751 2113  0601 2249  0426 0025  0403 0057  0528 2336  0704 2149  0834 1958  1005 1815  1143 1647  1221 1639
31  1109 1812     0747 2116     0424 0028     0531 2333  0707 2145     1008 1812     1220 1641
